"","name","prob.m","prob.w"
"414","Tony",0.99,0.01
"415","Wendy",0.04,0.96
"416","Agnes",0.02,0.98
"417","Akira",0.81,0.19
"418","Ali",0.94,0.0600000000000001
"419","Cathy",0.02,0.98
"420","Dominique",0.57,0.43
"421","Emma",0.09,0.91
"422","Gereon",1,0
"423","Giorgio",0.99,0.01
"424","Jean-Pierre",0.99,0.01
"425","Niels",0.99,0.01
"426","Reza",0.97,0.03
"427","Sylvain",0.98,0.02
"428","Uta",0.13,0.87
"429","Zachary",1,0
"430","Eve",0.04,0.96
"431","Igor",0.99,0.01
"432","Janet",0.02,0.98
"433","Sam",0.85,0.15
"434","Sonja",0.02,0.98
"435","Uri",0.93,0.07
"436","Veronica",0.02,0.98
"437","Xin",0.58,0.42
"438","Allison",0.05,0.95
"439","Armin",0.98,0.02
"440","Bo",0.85,0.15
"441","Dana",0.09,0.91
"442","Diana",0.02,0.98
"443","Fabrizio",0.99,0.01
"444","Harold",0.99,0.01
"445","Jacob",0.99,0.01
"446","Murray",0.97,0.03
"447","Natalia",0.02,0.98
"448","Nikolaus",0.99,0.01
"449","Randall",0.99,0.01
"450","Donna",0.02,0.98
"451","Ingrid",0.02,0.98
"452","Jacques",0.98,0.02
"453","Kurt",0.99,0.01
"454","Leon",0.98,0.02
"455","Magdalena",0.02,0.98
"456","Megan",0.01,0.99
"457","Nora",0.03,0.97
"458","Sharon",0.04,0.96
"459","Yasushi",0.99,0.01
"460","Yun",0.51,0.49
"461","Gang",-1,-1
"462","Guido",0.99,0.01
"463","Jeffery",0.99,0.01
"464","Jin",0.72,0.28
"465","Johan",0.98,0.02
"466","John-Dylan",1,0
"467","Katrin",0.02,0.98
"468","Mu-ming",0.75,0.25
"469","Ping",0.53,0.47
"470","Sven",0.99,0.01
"471","Alfonso",0.99,0.01
"472","Corey",0.94,0.0600000000000001
"473","Danielle",0.04,0.96
"474","Didier",0.98,0.02
"475","Fiona",0.02,0.98
"476","Li-Huei",0.47,0.53
"477","Tamas",0.96,0.04
"478","Chantal",0.02,0.98
"479","Eleanor",0.02,0.98
"480","Enrico",0.99,0.01
"481","Federico",0.99,0.01
"482","Hartwig",0.98,0.02
"483","Lori",0.04,0.96
"484","Noam",0.9,0.1
"485","Rudolf",0.99,0.01
"486","Wayne",0.99,0.01
"487","Amir",0.98,0.02
"488","Arne",0.98,0.02
"489","Carolyn",0.01,0.99
"490","Dominic",0.98,0.02
"491","Geraint",0.95,0.05
"492","Jakob",0.99,0.01
"493","Jamie",0.62,0.38
"494","Marianne",0.02,0.98
"495","Nadia",0.02,0.98
"496","Oscar",0.99,0.01
"497","Phillip",0.99,0.01
"498","Pietro",0.99,0.01
"499","Ron",0.99,0.01
"500","Vittorio",0.99,0.01
"501","Wim",0.99,0.01
